383: S = 222; I = 0; R = 49810
384: S = 222; I = 0; R = 49810
385: S = 222; I = 0; R = 49810
386: S = 222; I = 0; R = 49810
387: S = 222; I = 0; R = 49810
388: S = 222; I = 0; R = 49810
389: S = 222; I = 0; R = 49810
390: S = 222; I = 0; R = 49810
391: S = 222; I = 0; R = 49810
392: S = 222; I = 0; R = 49810
393: S = 222; I = 0; R = 49810
394: S = 222; I = 0; R = 49810
395: S = 222; I = 0; R = 49810
396: S = 222; I = 0; R = 49810
397: S = 222; I = 0; R = 49810
398: S = 222; I = 0; R = 49810
399: S = 222; I = 0; R = 49810
400: S = 222; I = 0; R = 49810
401: S = 222; I = 0; R = 49810
402: S = 222; I = 0; R = 49810
403: S = 222; I = 0; R = 49810
404: S = 222; I = 0; R = 49810
405: S = 222; I = 0; R = 49810
406: S = 222; I = 0; R = 49810
407: S = 222; I = 0; R = 49810
408: S = 222; I = 0; R = 49810
409: S = 222; I = 0; R = 49810
410: S = 222; I = 0; R = 49810
411: S = 222; I = 0; R = 49810
412: S = 222; I = 0; R = 49810
413: S = 222; I = 0; R = 49810
414: S = 222; I = 0; R = 49810
415: S = 222; I = 0; R = 49810
416: S = 222; I = 0; R = 49810
417: S = 222; I = 0; R = 49810
418: S = 222; I = 0; R = 49810
419: S = 222; I = 0; R = 49810
420: S = 222; I = 0; R = 49810
421: S = 222; I = 0; R = 49810
422: S = 222; I = 0; R = 49810
423: S = 222; I = 0; R = 49810
424: S = 222; I = 0; R = 49810
425: S = 222; I = 0; R = 49810
426: S = 222; I = 0; R = 49810
427: S = 222; I = 0; R = 49810
428: S = 222; I = 0; R = 49810
429: S = 222; I = 0; R = 49810
430: S = 222; I = 0; R = 49810
431: S = 222; I = 0; R = 49810
432: S = 222; I = 0; R = 49810
433: S = 222; I = 0; R = 49810
434: S = 222; I = 0; R = 49810
435: S = 222; I = 0; R = 49810
436: S = 222; I = 0; R = 49810
437: S = 222; I = 0; R = 49810
438: S = 222; I = 0; R = 49810
439: S = 222; I = 0; R = 49810
440: S = 222; I = 0; R = 49810
441: S = 222; I = 0; R = 49810
442: S = 222; I = 0; R = 49810
443: S = 222; I = 0; R = 49810
444: S = 222; I = 0; R = 49810
445: S = 222; I = 0; R = 49810
446: S = 222; I = 0; R = 49810
447: S = 222; I = 0; R = 49810
448: S = 222; I = 0; R = 49810
449: S = 222; I = 0; R = 49810
450: S = 222; I = 0; R = 49810
451: S = 222; I = 0; R = 49810
452: S = 222; I = 0; R = 49810
453: S = 222; I = 0; R = 49810
454: S = 222; I = 0; R = 49810
455: S = 222; I = 0; R = 49810
456: S = 222; I = 0; R = 49810
457: S = 222; I = 0; R = 49810
458: S = 222; I = 0; R = 49810
459: S = 222; I = 0; R = 49810
460: S = 222; I = 0; R = 49810
461: S = 222; I = 0; R = 49810
462: S = 222; I = 0; R = 49810
463: S = 222; I = 0; R = 49810
464: S = 222; I = 0; R = 49810
465: S = 222; I = 0; R = 49810
466: S = 222; I = 0; R = 49810
467: S = 222; I = 0; R = 49810
468: S = 222; I = 0; R = 49810
469: S = 222; I = 0; R = 49810
470: S = 222; I = 0; R = 49810
471: S = 222; I = 0; R = 49810
472: S = 222; I = 0; R = 49810
473: S = 222; I = 0; R = 49810
474: S = 222; I = 0; R = 49810
475: S = 222; I = 0; R = 49810
